Florida Paulista;11106;12849;12958
Joanopolis;10409;11771;12815
Serra Azul;7446;11259;12746
Sete Barras;13714;13006;12730
Itapeva;82866;87765;12692
Maracai;13004;13344;12673
Taguai;7468;10825;12669
Piquete;15200;14107;12490
Duartina;12475;12251;12328
Cananeia;12298;12226;12289
Luis Antonio;7160;11286;12265
Chavantes;12194;12114;12211
Tapiratiba;12942;12743;11816
Ibira;9447;10868;11690
Sao Bento do Sapucai;10355;10462;11684
Bernardino de Campos;10720;10777;11607
Sales Oliveira;9325;10568;11411
Cardoso;11605;11798;11345
Tabapua;10493;11366;11323
Estiva Gerbi;8856;10044;11295
Pedro de Toledo;9187;10213;11281
Avanhandava;8829;11311;11263
Guaicara;9211;10671;11239
Novo Horizonte;32432;36612;11162
Ribeirao Bonito;11246;12129;10989
Pirangi;10038;10623;10885
Roseira;8577;9606;10832
Vera Cruz;11085;10769;10676
Igarata;8292;8825;10605
Parapua;11104;10844;10580
Vargem;6975;8801;10512
Bofete;7356;9282;10460
Porangaba;6652;8333;10451
Sao Sebastiao da Grama;12454;12100;10441
Iacanga;8282;10010;10437
Uchoa;9035;9475;10394
Sarapui;7805;9027;10369
Guaraci;8846;9976;10350
General Salgado;10824;10674;10312
Ouroeste;6290;8406;10294
Getulina;10370;10777;10232
Cedral;6700;7968;10208
Areiopolis;10296;10581;10130
Bananal;9713;10220;9969
Manduri;8271;8999;9871
Nhandeara;10194;10725;9852
Neves Paulista;8907;8777;9690
Lavinia;5131;8782;9689
Palmares Paulista;8437;10938;9650
Balsamo;7340;8160;9596
Dumont;6307;8143;9471
Estrela d'Oeste;8256;8208;9417
Torrinha;8837;9330;9335
Nova Europa;7307;9301;9311
Cristais Paulista;6579;7591;9272
Jaborandi;6424;6592;9272
Rinopolis;10255;9935;9259
Queluz;9112;11325;9159
Cajobi;9174;9759;9133
Rincao;10330;10414;9098
Salto Grande;8444;8787;9050
Rafard;8360;8624;8965
Palmeira d'Oeste;10322;9584;8903
Dobrada;7007;7941;8759
Cosmorama;7372;7214;8719
Pereiras;6226;7468;8659
Monte Alegre do Sul;6321;7148;8627
Nova Campina;7295;8515;8497
Santo Antonio do Aracangua;6929;7627;8379
Saltinho;5799;7059;8161
Arealva;7244;7842;8130
Vista Alegre do Alto;4754;6889;8109
Dourado;8606;8607;8096
Itobi;7466;7545;8046
Iaras;3054;6377;8010
Aparecida;34904;35043;7960
Pauliceia;5302;6342;7955
Euclides da Cunha Paulista;10214;9585;7924
Terra Roxa;7752;8505;7904
Icem;6772;7462;7819
Ouro Verde;7148;7794;7779
Reginopolis;4742;7325;7662
Sao Jose da Bela Vista;8075;8407;7626
Jaci;4117;5657;7613
Ariranha;7477;8547;7602
Macaubal;7385;7663;7481
Ribeirao Grande;7390;7419;7450
Guaracai;8894;8435;7441
Paulo de Faria;8472;8589;7400
Nuporanga;6309;6817;7391
aguas da Prata;7131;7580;7369
Sud Mennucci;7365;7440;7355
Guatapara;6371;6966;7320
Bilac;6088;7052;7319
Sao Pedro do Turvo;6888;7208;7214
aguas de Santa Barbara;5224;5598;7177
Lavrinhas;6008;6586;7171
